,dateList,unitnetvalueList,netvalueList
0,2018-03-30,2.5915,3.5445
1,2018-03-29,2.5981,3.5511
2,2018-03-28,2.5344,3.4874
3,2018-03-27,2.6116,3.5646
4,2018-03-26,2.6123,3.5653
5,2018-03-23,2.6291,3.5821
6,2018-03-22,2.6918,3.6448
7,2018-03-21,2.7325,3.6855
8,2018-03-20,2.7534,3.7064
9,2018-03-19,2.7688,3.7218
10,2018-03-16,2.7538,3.7068
11,2018-03-15,2.7749,3.7279
12,2018-03-14,2.7337,3.6867
13,2018-03-13,2.7283,3.6813
14,2018-03-12,2.7723,3.7253
15,2018-03-09,2.7843,3.7373
16,2018-03-08,2.7655,3.7185
17,2018-03-07,2.7306,3.6836
18,2018-03-06,2.7396,3.6926
19,2018-03-05,2.7012,3.6542
20,2018-03-02,2.7246,3.6776
21,2018-03-01,2.7471,3.7001
22,2018-02-28,2.7237,3.6767
23,2018-02-27,2.7805,3.7335
24,2018-02-26,2.8238,3.7768
25,2018-02-23,2.8057,3.7587
26,2018-02-22,2.808,3.761
27,2018-02-14,2.7432,3.6962
28,2018-02-13,2.7201,3.6731
29,2018-02-12,2.6941,3.6471
30,2018-02-09,2.6368,3.5898
31,2018-02-08,2.7234,3.6764
32,2018-02-07,2.7089,3.6619
33,2018-02-06,2.7751,3.7281
34,2018-02-05,2.8524,3.8054
35,2018-02-02,2.9001,3.8531
36,2018-02-01,2.9033,3.8563
37,2018-01-31,2.959,3.912
38,2018-01-30,2.9259,3.8789
39,2018-01-29,2.9362,3.8892
40,2018-01-26,3.0376,3.9906
41,2018-01-25,3.0234,3.9764
42,2018-01-24,3.0315,3.9845
43,2018-01-23,3.0755,4.0285
44,2018-01-22,3.0571,4.0101
45,2018-01-19,3.003,3.956
46,2018-01-18,3.0362,3.9892
47,2018-01-17,2.9862,3.9392
48,2018-01-16,3.0484,4.0014
49,2018-01-15,2.9981,3.9511
50,2018-01-12,2.9878,3.9408
51,2018-01-11,2.967,3.92
52,2018-01-10,3.002,3.955
53,2018-01-09,2.9857,3.9387
54,2018-01-08,2.9445,3.8975
55,2018-01-05,2.9305,3.8835
56,2018-01-04,2.9309,3.8839
57,2018-01-03,2.8938,3.8468
58,2018-01-02,2.8761,3.8291
