,dateList,unitnetvalueList,netvalueList
0,2018-03-30,1.337,2.347
1,2018-03-29,1.331,2.341
2,2018-03-28,1.32,2.33
3,2018-03-27,1.331,2.341
4,2018-03-26,1.31,2.32
5,2018-03-23,1.311,2.321
6,2018-03-22,1.35,2.36
7,2018-03-21,1.363,2.373
8,2018-03-20,1.367,2.377
9,2018-03-19,1.358,2.368
10,2018-03-16,1.356,2.366
11,2018-03-15,1.366,2.376
12,2018-03-14,1.369,2.379
13,2018-03-13,1.375,2.385
14,2018-03-12,1.394,2.404
15,2018-03-09,1.387,2.397
16,2018-03-08,1.375,2.385
17,2018-03-07,1.361,2.371
18,2018-03-06,1.376,2.386
19,2018-03-05,1.354,2.364
20,2018-03-02,1.344,2.354
21,2018-03-01,1.361,2.371
22,2018-02-28,1.355,2.365
23,2018-02-27,1.349,2.359
24,2018-02-26,1.361,2.371
25,2018-02-23,1.336,2.346
26,2018-02-22,1.331,2.341
27,2018-02-14,1.301,2.311
28,2018-02-13,1.297,2.307
29,2018-02-12,1.289,2.299
30,2018-02-09,1.253,2.263
31,2018-02-08,1.297,2.307
32,2018-02-07,1.293,2.303
33,2018-02-06,1.305,2.315
34,2018-02-05,1.353,2.363
35,2018-02-02,1.359,2.369
36,2018-02-01,1.356,2.366
37,2018-01-31,1.386,2.396
38,2018-01-30,1.388,2.398
39,2018-01-29,1.392,2.402
40,2018-01-26,1.4,2.41
41,2018-01-25,1.4,2.41
42,2018-01-24,1.397,2.407
43,2018-01-23,1.4,2.41
44,2018-01-22,1.393,2.403
45,2018-01-19,1.382,2.392
46,2018-01-18,1.387,2.397
47,2018-01-17,1.39,2.4
48,2018-01-16,1.404,2.414
49,2018-01-15,1.385,2.395
50,2018-01-12,1.403,2.413
51,2018-01-11,1.4,2.41
52,2018-01-10,1.401,2.411
53,2018-01-09,1.408,2.418
54,2018-01-08,1.405,2.415
55,2018-01-05,1.395,2.405
56,2018-01-04,1.401,2.411
57,2018-01-03,1.402,2.412
58,2018-01-02,1.394,2.404
