,dateList,unitnetvalueList,netvalueList
0,2018-03-30,1.471,4.44
1,2018-03-29,1.466,4.435
2,2018-03-28,1.441,4.41
3,2018-03-27,1.474,4.443
4,2018-03-26,1.469,4.438
5,2018-03-23,1.465,4.434
6,2018-03-22,1.495,4.464
7,2018-03-21,1.519,4.488
8,2018-03-20,1.525,4.494
9,2018-03-19,1.524,4.493
10,2018-03-16,1.516,4.485
11,2018-03-15,1.525,4.494
12,2018-03-14,1.51,4.479
13,2018-03-13,1.508,4.477
14,2018-03-12,1.518,4.487
15,2018-03-09,1.518,4.487
16,2018-03-08,1.507,4.476
17,2018-03-07,1.48,4.449
18,2018-03-06,1.488,4.457
19,2018-03-05,1.473,4.442
20,2018-03-02,1.476,4.445
21,2018-03-01,1.48,4.449
22,2018-02-28,1.466,4.435
23,2018-02-27,1.477,4.446
24,2018-02-26,1.498,4.467
25,2018-02-23,1.492,4.461
26,2018-02-22,1.493,4.462
27,2018-02-14,1.466,4.435
28,2018-02-13,1.452,4.421
29,2018-02-12,1.439,4.408
30,2018-02-09,1.399,4.368
31,2018-02-08,1.428,4.397
32,2018-02-07,1.416,4.385
33,2018-02-06,1.442,4.411
34,2018-02-05,1.473,4.442
35,2018-02-02,1.493,4.462
36,2018-02-01,1.49,4.459
37,2018-01-31,1.504,4.473
38,2018-01-30,1.49,4.459
39,2018-01-29,1.505,4.474
40,2018-01-26,1.536,4.505
41,2018-01-25,1.525,4.494
42,2018-01-24,1.528,4.497
43,2018-01-23,1.533,4.502
44,2018-01-22,1.54,4.494
45,2018-01-19,1.516,4.47
46,2018-01-18,1.527,4.481
47,2018-01-17,1.525,4.479
48,2018-01-16,1.553,4.507
49,2018-01-15,1.541,4.495
50,2018-01-12,1.541,4.495
51,2018-01-11,1.53,4.484
52,2018-01-10,1.536,4.49
53,2018-01-09,1.529,4.483
54,2018-01-08,1.512,4.466
55,2018-01-05,1.507,4.461
56,2018-01-04,1.505,4.459
57,2018-01-03,1.488,4.442
58,2018-01-02,1.484,4.438
