,dateList,unitnetvalueList,netvalueList
0,2018-03-30,1.305,1.305
1,2018-03-29,1.311,1.311
2,2018-03-28,1.29,1.29
3,2018-03-27,1.315,1.315
4,2018-03-26,1.31,1.31
5,2018-03-23,1.328,1.328
6,2018-03-22,1.36,1.36
7,2018-03-21,1.374,1.374
8,2018-03-20,1.379,1.379
9,2018-03-19,1.379,1.379
10,2018-03-16,1.371,1.371
11,2018-03-15,1.384,1.384
12,2018-03-14,1.374,1.374
13,2018-03-13,1.379,1.379
14,2018-03-12,1.39,1.39
15,2018-03-09,1.388,1.388
16,2018-03-08,1.381,1.381
17,2018-03-07,1.366,1.366
18,2018-03-06,1.374,1.374
19,2018-03-05,1.36,1.36
20,2018-03-02,1.36,1.36
21,2018-03-01,1.37,1.37
22,2018-02-28,1.363,1.363
23,2018-02-27,1.38,1.38
24,2018-02-26,1.403,1.403
25,2018-02-23,1.392,1.392
26,2018-02-22,1.384,1.384
27,2018-02-14,1.358,1.358
28,2018-02-13,1.347,1.347
29,2018-02-12,1.329,1.329
30,2018-02-09,1.319,1.319
31,2018-02-08,1.376,1.376
32,2018-02-07,1.397,1.397
33,2018-02-06,1.436,1.436
34,2018-02-05,1.469,1.469
35,2018-02-02,1.464,1.464
36,2018-02-01,1.458,1.458
37,2018-01-31,1.458,1.458
38,2018-01-30,1.442,1.442
39,2018-01-29,1.46,1.46
40,2018-01-26,1.489,1.489
41,2018-01-25,1.481,1.481
42,2018-01-24,1.491,1.491
43,2018-01-23,1.491,1.491
44,2018-01-22,1.475,1.475
45,2018-01-19,1.459,1.459
46,2018-01-18,1.455,1.455
47,2018-01-17,1.446,1.446
48,2018-01-16,1.448,1.448
49,2018-01-15,1.438,1.438
50,2018-01-12,1.427,1.427
51,2018-01-11,1.415,1.415
52,2018-01-10,1.418,1.418
53,2018-01-09,1.405,1.405
54,2018-01-08,1.392,1.392
55,2018-01-05,1.385,1.385
56,2018-01-04,1.379,1.379
57,2018-01-03,1.372,1.372
58,2018-01-02,1.369,1.369
